Invoice_ID,Branch	,City	,Year,	Month,	Customer_type,	Gender,	Product_line,	Unit_price,	Quantity,	Tax, 	Total,Payment,	cost_of_good_sold	,gross_margin_percentage,	gross_income,Rating
 750-67-8428,A,Yangon,2019,January,Member,Female,Health and beauty,75,7,26,549,Ewallet,523,5,26,9
226-31-3081,C,Naypyitaw,2019,March,Normal,Female,Electronic accessories,15,5,4,80,Cash,76,5,4,10
631-41-3108,A,Yangon,2019,March,Normal,Male,Home and lifestyle,46,7,16,341,Credit card,324,5,16,7
123-19-1176,A,Yangon,2019,January,Member,Male,Health and beauty,58,8,23,489,Ewallet,466,5,23,8
373-73-7910,A,Yangon,2019,February,Normal,Male,Sports and travel,86,7,30,634,Ewallet,604,5,30,5
699-14-3026,C,Naypyitaw,2019,March,Normal,Male,Electronic accessories,85,7,30,628,Ewallet,598,5,30,4
355-53-5943,A,Yangon,2019,February,Member,Female,Electronic accessories,69,6,21,434,Ewallet,413,5,21,6
315-22-5665,C,Naypyitaw,2019,February,Normal,Female,Home and lifestyle,74,10,37,772,Ewallet,736,5,37,8
665-32-9167,A,Yangon,2019,January,Member,Female,Health and beauty,36,2,4,76,Credit card,73,5,4,7
692-92-5582,B,Mandalay,2019,February,Member,Female,Food and beverages,55,3,8,173,Credit card,165,5,8,6
351-62-0822,B,Mandalay,2019,February,Member,Female,Fashion accessories,15,4,3,61,Ewallet,58,5,3,5
529-56-3974,B,Mandalay,2019,March,Member,Male,Electronic accessories,26,4,5,107,Cash,102,5,5,7
365-64-0515,A,Yangon,2019,February,Normal,Female,Electronic accessories,47,5,12,246,Ewallet,235,5,12,7
252-56-2699,A,Yangon,2019,February,Normal,Male,Food and beverages,43,10,22,454,Ewallet,432,5,22,8
829-34-3910,A,Yangon,2019,March,Normal,Female,Health and beauty,71,10,36,749,Cash,714,5,36,6
299-46-1805,B,Mandalay,2019,January,Member,Female,Sports and travel,94,6,28,590,Cash,562,5,28,5
656-95-9349,A,Yangon,2019,March,Member,Female,Health and beauty,69,7,24,507,Credit card,483,5,24,5
765-26-6951,A,Yangon,2019,January,Normal,Male,Sports and travel,73,6,22,457,Credit card,436,5,22,7
329-62-1586,A,Yangon,2019,January,Normal,Male,Food and beverages,55,3,8,172,Credit card,164,5,8,9
319-50-3348,B,Mandalay,2019,March,Normal,Female,Home and lifestyle,40,2,4,85,Ewallet,81,5,4,4
300-71-4605,C,Naypyitaw,2019,February,Member,Male,Electronic accessories,86,5,22,452,Ewallet,430,5,22,5
371-85-5789,B,Mandalay,2019,March,Normal,Male,Health and beauty,88,3,13,277,Ewallet,264,5,13,5
273-16-6619,B,Mandalay,2019,March,Normal,Male,Home and lifestyle,33,2,3,70,Credit card,66,5,3,4
636-48-8204,A,Yangon,2019,February,Normal,Male,Electronic accessories,35,5,9,181,Ewallet,173,5,9,10
549-59-1358,A,Yangon,2019,March,Member,Male,Sports and travel,89,3,13,279,Ewallet,266,5,13,6
227-03-5010,A,Yangon,2019,March,Member,Female,Home and lifestyle,53,8,21,442,Credit card,421,5,21,9
649-29-6775,B,Mandalay,2019,February,Normal,Male,Fashion accessories,34,1,2,35,Cash,34,5,2,7
189-17-4241,A,Yangon,2019,March,Normal,Female,Fashion accessories,88,2,9,184,Credit card,175,5,9,8
145-94-9061,B,Mandalay,2019,January,Normal,Female,Food and beverages,88,5,22,464,Cash,442,5,22,10
848-62-7243,A,Yangon,2019,March,Normal,Male,Health and beauty,25,9,11,235,Cash,224,5,11,7
